sim_time,nodes,services,generated_traffic_B,average_traffic_Bps
62600,20,1000,2970,47.96597444089457
62700,20,1000,2970,47.93684210526316
62800,20,1000,2970,47.9078025477707
62900,20,1000,2970,47.87885532591415
63000,20,1000,2970,47.85
63100,20,1000,2970,47.82123613312203
63200,20,1000,3960,47.80822784810127
63300,20,1000,3960,47.79526066350711
63400,20,1000,3960,47.782334384858046
63500,20,1000,3960,47.76944881889764
63600,20,1000,3960,47.75660377358491
63700,20,1000,3960,47.743799058084775
63800,20,1000,3960,47.73103448275862
63900,20,1000,3960,47.71830985915493
64000,20,1000,4950,47.72109375
64100,20,1000,4950,47.72386895475819
64200,20,1000,4950,47.72663551401869
64300,20,1000,4950,47.7293934681182
64400,20,1000,4950,47.732142857142854
64500,20,1000,4950,47.734883720930235
64600,20,1000,4950,47.73761609907121
64700,20,1000,4950,47.7403400309119
64800,20,1000,5940,47.75833333333333
64900,20,1000,5940,47.77627118644068
65000,20,1000,5940,47.79415384615385
65100,20,1000,5940,47.81198156682028
65200,20,1000,5940,47.829754601226995
65300,20,1000,5940,47.847473200612555
65400,20,1000,5940,47.8651376146789
65500,20,1000,5940,47.882748091603055
65600,20,1000,6930,47.91539634146341
65700,20,1000,6930,47.94794520547945
65800,20,1000,5940,47.96534954407295
65900,20,1000,5940,47.982701062215476
66000,20,1000,5940,48.0
66100,20,1000,5940,48.01724659606656
66200,20,1000,5940,48.034441087613295
66300,20,1000,5940,48.05158371040724
66400,20,1000,6930,48.0835843373494
66500,20,1000,6930,48.11548872180451
66600,20,1000,5940,48.13243243243243
66700,20,1000,5940,48.149325337331334
66800,20,1000,5940,48.16616766467066
66900,20,1000,5940,48.18295964125561
67000,20,1000,5940,48.199701492537315
67100,20,1000,5940,48.21639344262295
67200,20,1000,6930,48.247767857142854
67300,20,1000,6930,48.27904903417534
67400,20,1000,5940,48.29554896142433
67500,20,1000,5940,48.312
67600,20,1000,5940,48.328402366863905
67700,20,1000,5940,48.344756277695716
67800,20,1000,5940,48.36106194690265
67900,20,1000,5940,48.37731958762887
68000,20,1000,6930,48.408088235294116
68100,20,1000,6930,48.43876651982379
68200,20,1000,5940,48.45483870967742
68300,20,1000,5940,48.47086383601757
68400,20,1000,5940,48.48684210526316
68500,20,1000,5940,48.50277372262774
68600,20,1000,5940,48.51865889212828
68700,20,1000,5940,48.534497816593884
68800,20,1000,6930,48.56468023255814
68900,20,1000,6930,48.59477503628447
69000,20,1000,5940,48.61043478260869
69100,20,1000,5940,48.6260492040521
69200,20,1000,5940,48.641618497109825
69300,20,1000,5940,48.65714285714286
69400,20,1000,5940,48.67262247838617
69500,20,1000,5940,48.68805755395683
69600,20,1000,6930,48.7176724137931
69700,20,1000,6930,48.74720229555237
69800,20,1000,5940,48.76246418338109
69900,20,1000,5940,48.777682403433474
70000,20,1000,5940,48.792857142857144
70100,20,1000,5940,48.80798858773181
70200,20,1000,5940,48.823076923076925
70300,20,1000,5940,48.83812233285917
70400,20,1000,6930,48.8671875
70500,20,1000,6930,48.89617021276596
70600,20,1000,5940,48.91104815864023
70700,20,1000,5940,48.92588401697313
70800,20,1000,5940,48.940677966101696
70900,20,1000,5940,48.95543018335684
71000,20,1000,5940,48.970140845070425
71100,20,1000,5940,48.98481012658228
71200,20,1000,6930,49.013342696629216
71300,20,1000,6930,49.04179523141655
71400,20,1000,5940,49.056302521008405
71500,20,1000,5940,49.07076923076923
71600,20,1000,5940,49.08519553072626
71700,20,1000,5940,49.099581589958156
71800,20,1000,5940,49.11392757660167
71900,20,1000,5940,49.12823365785814
72000,20,1000,6930,49.15625
72100,20,1000,6930,49.18418862690707
72200,20,1000,5940,49.1983379501385
72300,20,1000,5940,49.21244813278008
72400,20,1000,5940,49.226519337016576
72500,20,1000,5940,49.24055172413793
72600,20,1000,5940,49.25454545454546
72700,20,1000,5940,49.26850068775791
72800,20,1000,6930,49.29601648351648
72900,20,1000,6930,49.32345679012346
73000,20,1000,5940,49.3372602739726
73100,20,1000,5940,49.35102599179206
73200,20,1000,5940,49.364754098360656
73300,20,1000,5940,49.37844474761255
73400,20,1000,5940,49.39209809264305
73500,20,1000,5940,49.40571428571429
73600,20,1000,6930,49.43274456521739
73700,20,1000,6930,49.45970149253731
73800,20,1000,5940,49.47317073170732
73900,20,1000,5940,49.48660351826793
74000,20,1000,5940,49.5
74100,20,1000,5940,49.51336032388664
74200,20,1000,5940,49.526684636118596
74300,20,1000,5940,49.53997308209959
74400,20,1000,6930,49.56653225806452
74500,20,1000,6930,49.59302013422819
74600,20,1000,5940,49.60616621983914
74700,20,1000,5940,49.619277108433735
74800,20,1000,5940,49.63235294117647
74900,20,1000,5940,49.64539385847797
75000,20,1000,5940,49.6584
75100,20,1000,5940,49.671371504660456
75200,20,1000,6930,49.69747340425532
75300,20,1000,6930,49.723505976095616
75400,20,1000,5940,49.736339522546416
75500,20,1000,5940,49.74913907284768
75600,20,1000,5940,49.76190476190476
75700,20,1000,5940,49.77463672391017
75800,20,1000,5940,49.787335092348286
75900,20,1000,5940,49.8
76000,20,1000,6930,49.82565789473684
76100,20,1000,6930,49.85124835742444
76200,20,1000,5940,49.86377952755905
76300,20,1000,5940,49.87627785058978
76400,20,1000,5940,49.888743455497384
76500,20,1000,5940,49.90117647058823
76600,20,1000,5940,49.913577023498696
76700,20,1000,5940,49.92594524119948
